t_seat_pos,seat_pos,t_imus,qang,t_leg_stim,leg_stim,pic_leg_stim,leg_stim_duration
1570043284.7776673,323.0,1570043284.759684,25.440816286385886,1570043284.7592309,1.0,1.0,
1570043284.809684,330.0,1570043284.769684,25.657044836540923,1570043284.8266742,1.0,0.0,
1570043284.841678,340.0,1570043284.779684,25.95173032788766,1570043284.8891814,1.0,0.0,
1570043284.877654,349.0,1570043284.789684,26.099571762402476,1570043284.9803927,1.0,0.0,
1570043284.909755,356.0,1570043284.799684,26.51688752247625,1570043285.04176,1.0,0.0,
1570043284.94169,365.0,1570043284.809684,26.70558698241737,1570043285.100445,1.0,0.0,
1570043284.9777043,372.0,1570043284.819684,26.553267335334517,1570043285.1691823,1.0,0.0,
1570043285.009741,379.0,1570043284.829684,26.462081742453385,1570043285.2217152,1.0,0.0,
1570043285.0418658,384.0,1570043284.839684,26.412454337810246,1570043285.289205,1.0,0.0,
1570043285.0776846,390.0,1570043284.849684,26.20416260294859,1570043285.3529608,1.0,0.0,
1570043285.1096842,394.0,1570043284.859684,26.20416260294859,1570043285.4204483,1.0,0.0,
1570043285.141685,398.0,1570043284.869684,26.12922402834484,1570043285.4866629,1.0,0.0,
1570043285.1776938,401.0,1570043284.879684,26.100309347921623,1570043285.5804644,0.0,1.0,
1570043285.2097638,404.0,1570043284.889684,25.87146436233302,1570043285.7004702,0.0,0.0,
1570043285.2416916,407.0,1570043284.899684,25.66176088762025,1570043285.760412,0.0,0.0,
1570043285.2776845,408.0,1570043284.909684,25.608602756551115,1570043285.8204412,0.0,0.0,
1570043285.309658,409.0,1570043284.919684,25.67477683733296,1570043285.8879657,0.0,0.0,
1570043285.3416812,410.0,1570043284.929684,25.67477683733296,1570043285.9516697,0.0,0.0,
1570043285.3777564,409.0,1570043284.939684,25.67477683733296,1570043286.019185,0.0,0.0,
1570043285.409674,411.0,1570043284.949684,25.76575994494883,1570043286.0842261,0.0,0.0,
1570043285.4417632,410.0,1570043284.959684,25.783577758115957,1570043286.150798,0.0,0.0,
1570043285.4777617,411.0,1570043284.969684,25.599695921506097,1570043286.2391658,-1.0,1.0,
1570043285.5099916,411.0,1570043284.9796839,25.521120006158732,1570043286.3003917,-1.0,0.0,
1570043285.5416934,410.0,1570043284.9896839,25.448373655087668,1570043286.3604822,-1.0,0.0,
1570043285.577661,411.0,1570043284.9996839,25.462073328658214,1570043286.4216707,-1.0,0.0,
1570043285.6097198,410.0,1570043285.0096838,25.28714756328178,1570043286.485467,-1.0,0.0,
1570043285.6419053,412.0,1570043285.0196838,25.070699588646264,1570043286.5491722,-1.0,0.0,
1570043285.6776805,411.0,1570043285.0296838,24.70288025289857,1570043286.6180022,-1.0,0.0,
1570043285.709672,412.0,1570043285.0396838,24.700432759983173,1570043286.6841633,-1.0,0.0,
